city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state,media_movel,variacao_semanal
Campo Novo,4304002.0,1221,27902.19378,2022-03-24,0.0188,23,4376.0,4484.0,True,607,city,RS,3176.5714285714284,-0.8642126334519573
Campos Borges,4304101.0,886,26889.2261,2022-03-24,0.0147,13,3295.0,3320.0,True,558,city,RS,3208.714285714286,0.340393343419062
Candelária,4304200.0,5607,17844.75351,2022-03-24,0.0155,87,31421.0,31365.0,True,644,city,RS,3951.4285714285716,12.742647058823529
Cândido Godói,4304309.0,1169,19005.03983,2022-03-24,0.0043,5,6151.0,6198.0,True,579,city,RS,4047.0,1.338
Candiota,4304358.0,2433,25220.27573,2022-03-24,0.0074,18,9647.0,9584.0,True,632,city,RS,4225.571428571428,1.0566356720202874
Canela,4304408.0,10200,22423.49631,2022-03-24,0.0202,206,45488.0,44998.0,True,605,city,RS,5490.571428571428,6.58364312267658
Canguçu,4304507.0,8123,14450.90819,2022-03-24,0.015,122,56211.0,56045.0,True,662,city,RS,4234.142857142857,-0.5198605036056272
Canoas,4304606.0,66955,19228.44966,2022-03-24,0.0267,1790,348208.0,346616.0,True,669,city,RS,13624.714285714286,53.83619983619984
Canudos do Vale,4304614.0,238,13958.94428,2022-03-24,0.0252,6,1705.0,1716.0,True,627,city,RS,13532.142857142857,-0.7313769751693002
Capão Bonito do Sul,4304622.0,528,32175.50274,2022-03-24,0.0114,6,1641.0,1654.0,True,545,city,RS,12806.57142857143,-0.9058319957196361
Capão da Canoa,4304630.0,16117,29818.13472,2022-03-24,0.0151,244,54051.0,53049.0,True,667,city,RS,14942.0,12.78699743370402
Capão do Cipó,4304655.0,563,15220.32982,2022-03-24,0.0107,6,3699.0,3651.0,True,582,city,RS,14674.857142857143,-0.7685984381422113
Capão do Leão,4304663.0,4862,19134.95218,2022-03-24,0.0191,93,25409.0,25354.0,True,659,city,RS,13912.285714285714,-0.5233333333333333
Capela de Santana,4304689.0,2007,16636.27321,2022-03-24,0.0159,32,12064.0,11940.0,True,600,city,RS,13038.57142857143,-0.752923796626862
Capitão,4304697.0,688,24900.4705,2022-03-24,0.0044,3,2763.0,2757.0,True,618,city,RS,3571.8571428571427,-0.9897244417892614
Capivari do Sul,4304671.0,1453,30731.81049,2022-03-24,0.0062,9,4728.0,4660.0,True,560,city,RS,3745.4285714285716,5.105042016806722
Caraá,4304713.0,1269,15197.60479,2022-03-24,0.0221,28,8350.0,8270.0,True,592,city,RS,3851.285714285714,1.4034090909090908
Carazinho,4304705.0,16918,27170.96282,2022-03-24,0.0174,294,62265.0,62110.0,True,640,city,RS,3965.714285714286,0.049699075510330815
Carlos Barbosa,4304804.0,7233,23917.85986,2022-03-24,0.0084,61,30241.0,29833.0,True,669,city,RS,4918.571428571428,11.847246891651865
Carlos Gomes,4304853.0,197,14581.79127,2022-03-24,0.0051,1,1351.0,1377.0,True,555,city,RS,4252.142857142857,-0.9594816947758125
Casca,4304903.0,1911,21113.6891,2022-03-24,0.0115,22,9051.0,9031.0,True,614,city,RS,4238.428571428572,-0.04783258594917783
