city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state
Barro Duro,2201408,810,11526.96741,2022-03-26,0.0148,12,7027.0,7032.0,True,667,city,PI
Batalha,2201507,1453,5400.48318,2022-03-26,0.0275,40,26905.0,26857.0,True,688,city,PI
Bela Vista do Piauí,2201556,324,8039.70223,2022-03-26,0.0216,7,4030.0,4015.0,True,677,city,PI
Belém do Piauí,2201572,624,17396.15277,2022-03-26,0.0128,8,3587.0,3566.0,True,673,city,PI
Beneditinos,2201606,1474,14074.28626,2022-03-26,0.0278,41,10473.0,10467.0,True,688,city,PI
Bertolínia,2201705,1140,20700.92609,2022-03-26,0.0105,12,5507.0,5501.0,True,689,city,PI
Betânia do Piauí,2201739,183,2946.8599,2022-03-26,0.0219,4,6210.0,6205.0,True,702,city,PI
Boa Hora,2201770,607,8906.82318,2022-03-26,0.0115,7,6815.0,6781.0,True,693,city,PI
Bocaina,2201804,451,10011.09878,2022-03-26,0.0244,11,4505.0,4500.0,True,670,city,PI
Bom Jesus,2201903,3840,15125.85181,2022-03-26,0.0135,52,25387.0,25179.0,True,698,city,PI
Bom Princípio do Piauí,2201919,240,4247.03592,2022-03-26,0.0542,13,5651.0,5630.0,True,705,city,PI
Bonfim do Piauí,2201929,518,9111.69745,2022-03-26,0.0174,9,5685.0,5670.0,True,707,city,PI
Boqueirão do Piauí,2201945,884,13756.61376,2022-03-26,0.0158,14,6426.0,6407.0,True,655,city,PI
Brasileira,2201960,739,8853.48029,2022-03-26,0.0284,21,8347.0,8329.0,True,666,city,PI
Brejo do Piauí,2201988,160,4158.00416,2022-03-26,0.0312,5,3848.0,3875.0,True,627,city,PI
Buriti dos Lopes,2202000,1494,7542.7879,2022-03-26,0.0248,37,19807.0,19781.0,True,696,city,PI
Buriti dos Montes,2202026,722,8736.68925,2022-03-26,0.0139,10,8264.0,8244.0,True,672,city,PI
